dato,predicciones
la apoyo,positivo
jorge alberto gonzalez reyes,negativo
vamos todos con claudia delgadillo fuera mc con su candidato corrupto,positivo
cada vez que claudia toma la palabra es para hablar de progreso y bienestar para todos,negativo
claudia es ejemplo de compromiso y trabajo duro constantemente busca maneras de mejorar la vida en nuestra comunidad,negativo
es un honor contar con ella liderando el camino hacia un futuro mas prometedor,positivo
claudia no es solo propuestas es accion ha demostrado con hechos su compromiso con el pueblo trabajando incansablemente para mejorar nuestra calidad de vida,positivo
la apoyo con claudia delgadillo y daniel garcia,positivo
claudia siempre esta al frente proponiendo y ejecutando mejoras reales para nuestro pueblo,positivo
animo claudia arriba y adelante,positivo
su pasion por servir al pueblo es evidente en todas sus acciones y propuestas,negativo
la empatia y determinacion de claudia para atender las necesidades del pueblo son inigualables,negativo
claudia delgadillo una sola pregunta tengo y espero sea contestada con honestidadcuantos cms de tierra a cuidado para proteger el medio ambiente del estado espero su respuesta por favor y si es satisfactoria le doy mi voto y le consigo mas ver mas,positivo
claudiasx2 shembaum,negativo
detras de cada iniciativa de claudia hay una clara intencion de hacer de puerto vallarta un mejor lugar para vivir,negativo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
seguro que si,negativo
su incansable labor en favor del pueblo es un claro ejemplo de lo que significa trabajar con el corazon puesto en la gente,negativo
con claudia no hay palabras vacias solo compromisos concretos y resultados que hablan por si mismos,positivo
la apoyo,positivo
la dedicacion de claudia hacia el bienestar comun es lo que necesita para abrazar la cuarta transformacion con fuerza y unidad,positivo
vamos con todo,negativo
la apoyo,positivo
la apoyo la apoyo,positivo
animo ya falta poco viva morena pt y pv  sigamos con la 4t viva amlo viva mexico,positivo
hola claudia delgadillo iran mis amigos y amigas a eventos hoy yo tengo miedo soy transgenero y  en la nomenclatura usa e internacional transexual porque llevo mas de 11 anos en tratamiento hormonal y de bloqueo de testosterona no ire un feminicidio  ver mas,positivo
  como tray lo badel enzima  que tristeza  de que escuela politica bienes  quien fueron tus maestros en fin no enganar al pueblo  no mentir pobre moerena analisa,negativo
lo bueno de mc es que ya se van y tendremos la primera gobernadora claudia delgadillo arriba la 4ta transformacion,negativo
que bueno que este enterada de esto el ser servidor publico juega un papel importante dependiendo el partido que este en turno y esta vez no es la ocasion es verdad que los estan obligando me consta porque tengo familiares amigas que los tienen hasta ver mas,negativo
gracias gobernadora,positivo
palabra de mujer y claudia delgadillo si cumple las cabezas de los naranjas ya se van alfaro lemus y otros muchos mas de primer nivelsolo van a quedar los buenos los que si trabajan por jalisco,negativo
vamos por la transformacion en jalisco,negativo
asi es mi claudia,negativo
vamos claudia mi familia esta contigo,negativo
el voto es secreto  pueden cuidar su trabajo y votar por un cambio verdadero,positivo
la liclulu barrera y su equipo de trabajo y sus seguidores estan con udlicclaudia delgadillo juntas condusecen el tren de la cuarta transfomacion para reformar jalisco y tlajomulco viva la 4ty morena,negativo
lamentablemente es la realidad con los gobiernos naranjas,positivo
estos infelices naranjas del mc y me refiero a los de alto nivel esos que someten a la mayoria de trabajadores del gobierno ellos que si desquitan su sueldo trabajando y aun asi  sus jefes les descuentan una parte de su sueldo y se lo reparten  empeza ver mas,negativo
en cada rincon de nuestro estado la apoyamos,positivo
asi es estan amenazados por sus actitudes lo he reconocido en varios sectores pueblo bueno al ir a votar aganlo en cilicio y diganse tengan su voto y a votar por la verdades trasformacion,positivo
buenas tardes gobernadora pensionados del estado estamos con ud a hecharle ganas en este segundo debate,positivo
voto masivo a morena plan c,negativo
gracias claudia que bueno que ya estes enterada de la situacion hay quienes si apoyan y habemos quienes no pero independientemente de nuestra afinan politica cultural social y etc  como servidores publicos pedimos respeto de todos los jugadores ver mas,positivo
sin miedo al exito  mi proxima  gobernadora  su servidor y mi familia  con usted estamos con todo saludos,positivo
tambien compran votos,negativo
pablo alfaro a caray como es eso lic  que no es pablo lemus en fin  si me gustaria escuchar sus propuestas que aportaria usted a esta metropoli esta hermosa ciudad tan descuidada  me gustaria imaginar que entre tantos gobernantes candidatos a u ver mas,negativo
el voto sera para la candidata de morena claudia delgadillo,positivo
por lo menos en la dependencia donde trabajo ni obligan ni amenazan a nadie,negativo
claudia hace bien licenciada en tranquilizar a quienes hoy tienen su trabajo en el gobierno porque la necesidad de trabajar es mucha y no hay forma mas digna de llevar el pan a la mesa que trabajando obviamente quienes llegaron a robar no van a querer ver mas,negativo
la apoyo con claudia delgadillo y daniel garcia,positivo
ojala por q ya estan dando de baja alas personas q no apoyan,negativo
ni con esos juegos sucios van a poder estiempodemujeres  no olvideis todas las comunidades que es jalisco,negativo
y que hay de los sindicalizados que no te quieren  jajaja   soy ciudadana y a mi como a muchos no nos obligaron fuimos por que somos libres y queremos que siga este proyecto,negativo
claudia delgadillo efectivamente algo asi nos paso en nuestra empresa y gracias por avisar de que no es obligacion de andar apoyandolos a los naranjas podridas sete agradece por el aviso,negativo
salvemos nuestro jalisco votemos morena y por nuestra candidata,negativo
es tiempo de morena,negativo
tambien usted no se quedan atras que quieren quitar todos los apoyos municipales,negativo
animo prima vamos con todo sabes que quieren opacar tu campana vamos adelante tienes el apoyo de la gente bonita de muchas dependencias,positivo
no se vale llorar morena lo esta haciendo con los programas sociales amenazando a los beneficiarios les gusta hacer y no les gusta que lo hagan,negativo
haber vamos a ver el crimen organizado por llamarlo de una manera siempre a existido pero en mexico crecio en los ultimos 36 anos sobre todo en el periodo de felipe calderon y  es algo dificil de erradicar y menos en un sexenio pero se trabaja dia ver mas,negativo
muy correcto a todos los de confianza de lod opd del estado y a los eventuales de los ayuntamientos y si estos tienen que estar fuera lic los gonzalez de  yahualica  con todo a favor de claudia delgadillo,positivo
consejo de ciudadano k no olvida jamas le dare un voto mas a un partido que no me cumplio sus promesas de campana recuerdo bien k vote x partido movimiento ciudadano x que nos prometio k no subiria el transporte  publico ellos criticaron el aumento d ver mas,positivo
muy bien dicho candidata jalisciense esta con usted la proxima gobernadora,negativo
mucho exito la apoyaremos con todo,negativo
prometer prometer hasta el voto obtener y despues de obtenido olvidar lo prometidoextorsiones a los casinos ver mas,positivo
aparte arrancando la lonas de pt y morena,negativo
apoyo de toda la tropa para morena futura gobernadora de jalisco claudia delgadillo,positivo
ya hicieron reuniones extra oficiales en distintas dependencias y les amenazaron si se va mc se van ellos tambien y los manejan por grupo de whatsapp para mi no pueden encontrar empatia ni respeto entre los burocratas mediante amenazas que ya se vayan,positivo
gobernadora le encargamos por favor la revision de los organos internos de control los utilizan para hacer sus fechorias contra trabajadores de base  ojo estan violentando a trabajadores y trabajadoras haber que dia le podemos visitar en su casa  ver mas,negativo
ni quien se los crea a mc naturalmente nadie queremos mas naranjas podridas rechazados socialmente y demostrablemente para empezar con la verificacion vehicular y el carrusel entre otros en contra de los bolsillos de los jalisciensesencuestas pagada ver mas,negativo
analisis estrategico de informacion y seguimiento katharsisrumbo al 2 de junio 2024 ver mas,positivo
das pena morena haciendo encuestas falsas y cizana por todos lados ,negativo
un saludoen mc esta lleno de delincuentes al ganar la gubernatura no se negocie en lo absoluto con ellos deben de demandar penalmente a todos los que hayan abusado de su cargo publico si se quiere transformar al estado de jalisco,positivo
mc autoritario y represores quieren atoda costa ganar para segir robando y hundiendo mas a jalisco y ala gente con tantos abusos ahora si prometen cuando nunca nada bueno anecho fuera fuera mc,negativo
que se puede esperar de los mafiosos del pan naranja,positivo
con morena nos ira mejor claudia es la mera mera,negativo
a mi me amenazaron por hacer una publicacion en la pagina de lemus,negativo
claudia estamos contigo  ya faltan unos dias para que tu  y tu  tocaya  nos traigan el futuro que estamos esperando lo que si me da mucho miedo de pensar que los  naranjas intenten hacer sus obras sucias para robarte los votos por favor  tiene que ten ver mas,positivo
tu echale ganas mi futura gober saludos,positivo
que honor contar con tu compromiso y determinacion claudia juntos lograremos el cambioverdadero que nuestra comunidad necesita adelante,positivo
seguiremos trabajando incansablemente para hacer del cambioverdadero una realidad para todos vamos por mas,negativo
la apoyo,positivo
vamos todos con claudia delgadillo,negativo
hasta hoy dia no me he equivocado en mis presagios o premoniciones la siguiente persona que encabezara la gobernatura de mi bello estado de jalisco sera una mujer saludos y bendiciones,positivo
claudia delgadillo la primera gobernadora de jalisco,negativo
cuauhtemoc renteria montero asi sera,negativo
amen amen amen,positivo
claudia delgadillo gobernadora ,negativo
por fin alguien que viene a trabajary hacer las cosas bien,negativo
caminar a lo desconocido unos llegan otros no ir en busca de bienestar de alimentos de mandar un centavo a la familia los grandes olvidados de otras administraciones dejando pueblos fantasma sin varones sin ninas ni ninos sin madres no en busca del  ver mas,negativo
familia de abogados muy decentes y trabajadores y apoyan a los mas necesitados de la injusticiasaludos a tus hermanos que me ayudaron en un caso cuente con mi apoyo,positivo
que honor contar con tu compromiso y determinacion claudia juntos lograremos el cambioverdadero que nuestra comunidad necesita adelante,positivo
seguiremos trabajando incansablemente para hacer del cambioverdadero una realidad para todos vamos por mas,negativo
la apoyo con claudia delgafillo y daniel garcia,positivo
los jovenes en compania de oswaldo pina estamos apoyando la lucha por el cambio verdadero todas y todos estamos unidos ayudando en construir el segundo piso de la transformacion viva la 4t y votemos x morena,positivo
claudia delgadillo la esperanza de nuestro jalisco  y el apoyo de la doctora claudia  sheinbaum todo morena,positivo
que orgullo de ver a una mujer con su capacidad tenacidad y conviccion de servicio,positivo
estoy orgullosa de apoyar a una candidata que realmente lucha por nuestros derechos y bienestar yasevan,negativo
viva morena es tiempo de las mujeres en jalisco y en todo el paiis,negativo
ya se va acabando todo lo que destruia a nuestro bello estado votara por morena,positivo
juntos por un cambio morena claudia delgadillo proxima gober,positivo
vamos morena juntos por el cambio de mexico si se puede,positivo
que alegria sentirse representada y escuchada claudia es la voz de todas las mujeres de jalisco que han estado esperando una oportunidad para brillar,positivo
como mujer de jalisco me inspira ver a claudia al frente de este movimiento,negativo
con morena nos ira mejor claudia es la mera mera,negativo
primero dios  las claudia van a ganar,positivo
usted nos representa es la voz del pueblo que le brindan respaldo  lider lo hara muy bien,negativo
con usted va a progresar nuestro estado jalisco se va a transformar,negativo
jalisco con claudia,negativo
en cada rincon del estado tiene nuestro carino,negativo
excelente tlaquepaque con claudia,positivo
quienes la conocemos sabemos que su palabra es garantia,negativo
la energia y las propuestas de claudia me tienen totalmente convencida,negativo
tepa presente ,negativo
fuerza jovenes de morena  esclaudia morena la esperanza de jalisco asi sera guarden este comentario,positivo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
votaporelcambio  la apoyo respaldo total desde arandas,positivo
con morena nos ira mejor esta mas que claro,negativo
votaporelcambio claudia te respaldamos desde lagos de moreno,negativo
claudia usted sera nuestra gobernadora,negativo
se ve se siente claudia esta presente,negativo
hoy es tiempo de las mujeres,negativo
vamos toda mi familia con morena y claudia,negativo
siempre  con el apoyo de tu hija y con  el nuestro,positivo
las mujeres en el centro,negativo
la vision de claudia para empoderar a las mujeres en jalisco es inspiradora,positivo
es imprescindible tener a alguien que entiende desde dentro los desafios que enfrentamos las mujeres de jalisco,negativo
sin duda es el tiempo de la 4t el cambio es inevitable,positivo
hasta hoy dia no me he equivocado en mis presagios o premoniciones la siguiente persona que encabezara la gobernatura de mi bello estado de jalisco sera una mujer saludos y bendiciones,positivo
claudia gobernadora,negativo
y el pueblo tapatio unido por la 4t con claudia vamos a votar  por un cambio de gobierno,positivo
todo el apoyo para usted,positivo
salvemos nuestro jalisco votemos morena y por nuestra candidata,negativo
yo con todo  vamos unidos podemos,positivo
eso mi pao,negativo
claudiadelgadillo  no hay mas ella va a ganar,negativo
asi es la victoria de jalisco y morena vamos todos con morena viva claudia delgadillo candidata a gobernadora,positivo
claudia el pueblo te respalda,negativo
a caray ya rejuvenecio o como,negativo
asi es  los naranjas ya se van  atte mayin monreal   gracias,positivo
venga chavos a demostrar de que esta hecha esta 4t,positivo
su pasion por el cambio y la igualdad me hace creer en un futuro mejor para nosotras,positivo
finalmente tenemos a alguien que no solo nos entiende sino que tambien esta creando oportunidades reales para nuestro desarrollo,negativo
votaporelcambio,negativo
esclaudiadelgadillo votaporelcambio,negativo
hola claudia delgadillo iran mis amigos y amigas a eventos hoy yo tengo miedo soy transgenero y  en la nomenclatura usa e internacional transexual porque llevo mas de 11 anos en tratamiento hormonal y de bloqueo de testosterona no ire un feminicidio  ver mas,positivo
mjt,negativo
claudia vamos por todo mexico claudia delgadillo vamos por todo jalisco,positivo
morena al 100,positivo
de donde saca tantas energias mi proxima gobernadora,negativo
mi claudia mi futura gobernadora   vamos con claudia mi gran apoyo,positivo
martha perez gracias por el apoyo,positivo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
axel vargas gracias por el apoyo,positivo
usted es una mujer guerrera de lucha que representa firme los ideales de amlo y la transformacion,positivo
mi lider no lo olvide primero  los pobres y usted es la persona  ideal para realzar con este proyecto historico del pais ahora en nuestra tierra,negativo
saludos  claudia en el salto estamos convencidos de que no hay mejor perfil para dirigir nuestro estado que ustedcon su capacidad e ideologia la 4t sera porfin una realidad,positivo
su dedicacion para mantener una calidad de vida digna para todas las personas en jalisco no tiene comparacion,negativo
su compromiso con mantener una alta calidad de vida y su enfoque especifico en la riqueza de lugares como,negativo
me llena de orgullo y entusiasmo ver como claudia abraza nuestras tradiciones y sectores como el de las mujeres,positivo
apoyo absoluto para lic claudia proxima gobernadora de jalisco,positivo
dios la bendiga y proteja,positivo
con todo el poder del pueblo mi candidata,negativo
zapopan con usted,negativo
la atencion de claudia hacia encarnacion de diaz y su gente es solo un ejemplo de su increible labor en jalisco,positivo
plan c  voy morenaaaaa,negativo
vamos cada dia mas fuertes en jalisco con claudia delgadillo y la 4t seguimosdepie morenasigue,positivo
estamosconustedclaudia delgadillo gobernadora falta poquito y se escucha chingon,negativo
claudia contigo vamos ala cuarta transformacion ,negativo
vamos para delante hasta la victoria,positivo
claudia delgadillo bendito dios que ahora si tenemos candidata y me atrevo a decir que tenemos una de las mejores de todo mexico,positivo
la mas preparada para ser nuestra gobernadora,negativo
dios me la cuide y me la proteja en todo momento mi futura gobernadora,positivo
sonrie tendremos gobernadora senoras y senores,negativo
animo mi claudia,positivo
suerte mi futura gobernadora trabajando desde ahora,positivo
estamos con usted claudia saludos y que dios me la guarde siempre en todo momento,positivo
un orgullo que nos visite senora claudia,positivo
estamos con usted,negativo
con todo claudiadelgadillo la chona esta contigo,negativo
claro morena en jalisco y morena en la chona ba a estar mucho mejor,negativo
si tambien tenemos muchos desaparesidos,negativo
mujer de territorio no de escritorio asi la queremos ver siempre saludos desde puerto vallarta mi gober hermosa,positivo
muy bien respaldo absoluto,negativo
estamos con usted claudia  y la cuarta transformacion,negativo
con todo mi clau mujer de palabra estamos con usted saludos desde zapotlanejo aqui sabemos que usted es la verdadera respuesta,positivo
claudia usted sera nuestra gobernadora,negativo
saludos desde los altos de jalisco aqui la respaldamos y la defenderemos,positivo
las mujeres se empoderan,negativo
enhorabuena,negativo
excelente le mando un fuerte abrazo mi gober ya casi casi que nervios,positivo
mi querida claudia es una gran oportunidad de que gente realmente del pueblo nos gobierne porque sabe las verdaderas necesidades que existen,negativo
si es muy bonito pero seria mas bonito si hubiera mas trabajo bien pagado y que no hubiera tanta inseguridad,negativo
licenciada claudia delgadillo gonzalez gobernadora,negativo
alluden al campesino pagen lo justo la leche alluden al pueblo,negativo
impresionante vision de claudia realmente aprecio como siempre se ha mantenido cercana al pueblo garantizando una calidad de vida digna para todos,negativo
arriba claudia arriba la 4t,negativo
siempre juntos siempre morena,negativo
felicidadesclaudia delgadillo elegante preparada con clase que mas queremos los jaliscienses saludos y aqui tiene respaldo y solidaridad en su proyecto,positivo
vamos con todo claudia gobernadora,negativo
estoy contigo claudia,negativo
vamos con todo por jalisco con claudia delgadillo,negativo
en jalisco nos garantizara que el pueblo es mucha pieza no al amiguismo no al caciquismo no a la imposicion de los grupos incrustados en el poder si a la voluntad del pueblo contamos con usted viva mexico viva amlo viva claudia delgadillo viva ver mas,positivo
su cercania con el pueblo en encarnacion de diaz y todo jalisco es admirable,negativo
su compromiso con el bienestar del pueblo y los tejedores habla muy bien de ella,negativo
totalmente de acuerdo con las propuestas de claudia tiene un enfoque real en la gente,positivo
con lideres asi jalisco se transformara para bien de todos,negativo
su enfoque en mejorar la vida de la comunidad y su constante cercania con el pueblo habla muy bien de sus valores,positivo
claudia gobernadora pero morena la chona nomas no,negativo
su presencia y trabajo cercano al pueblo garantizan que jalisco camina hacia una gran transformacion,positivo
la cercania de claudia con la comunidad y su compromiso por una vida digna son ejemplares,negativo
con su guia vamos por un futuro prometedor para todos,positivo
esclaudia2024,negativo
mi querida claudia es una gran oportunidad de que gente realmente del pueblo nos gobierne porque sabe las verdaderas necesidades que existen,negativo
vamos toda mi familia con morena y claudia,negativo
usted nos representa es la voz del pueblo que le brindan respaldo  lider lo hara muy bien,negativo
dios me la cuide y me la proteja en todo momento mi gobernadora excelente,positivo
lleno total  que gusto,negativo
suerte mi futura gobernadora trabajando desde ahora,positivo
enhorabuena,negativo
estoy con usted para que sea la primera mujer gobernadora no hay vuelta atras ,negativo
estamos con usted claudia saludos y que dios me la guarde siempre en todo momento,positivo
muy bien respaldo absoluto,negativo
vamos para delante hasta la victoria,positivo
claudia  tu  vas hacer la diferencia es tiempo de mujeres,positivo
felicidadesclaudia delgadillo elegante preparada con clase que mas queremos los jaliscienses saludos y aqui tiene respaldo y solidaridad en su proyecto,positivo
claudia usted sera nuestra gobernadora,negativo
excelente claudia es la mejor,positivo
siempre juntos siempre morena,negativo
asi esya ganamos todos con morena,negativo
vamos al triunfo claudia gobernara,positivo
mi admiracion y respeto es usted vamos arriba sera  nuestra proxima gobernadora,positivo
la futura gobernadora jalisco,positivo
mi gobernadora,negativo
mi voto seguro ya esta para claudia,negativo
2 de junio  2 claudia  a 4ta transformacion viva jalisco y viva mexico ,positivo
la apoyo con claudiadelgadillo y danielgarciavamos morenaaaa,positivo
excelente le mando un fuerte abrazo mi gober ya casi casi que nervios,positivo
mujer trabajadora y honesta,positivo
al  con la delgadillo shula mujer capaz e inteligente,positivo
estamos con usted claudia  y la cuarta transformacion,negativo
que gusto me da vamos con todo,negativo
desde el primer momento dije apoyo total a claudia y ahora y siempre usted es la ganadora,positivo
claudia contigo vamos ala cuarta transformacion ,negativo
no esta sola mi proxima gobernadora,negativo
sonrie tendremos gobernadora senoras y senores,negativo
vamos a ganasaar,negativo
 viva la 4t  vivan las claudias  viva amlo ,negativo
claudia delgadillo proxima gobernadora de jalisco,negativo
yo con todo  vamos unidos podemos,positivo
estoy contigo claudia,negativo
votaporelcambio claudia te respaldamos desde lagos de moreno,negativo
claudia  presidente y claudia  gobernadora  jalisco 4t ,negativo
arriba claudia arriba la 4t,negativo
mi voto a morena,negativo
animo saludos y bendiciones,positivo
claudia delgadillo gobernadora,negativo
claudia delgadillo es de jalisco y para jalisco sera gobernadora de morena voto masivo por morena juntos haremos historia y aliados y vamos por plan c gracias saludos,positivo
es un honor estar con claudia delgadillo desde aguascalientes mexico estamos con la doctora claudia sheinbaum pardo nuestra futura presidenta,positivo
vamos con todo,negativo
analisis estrategico de informacion y seguimiento katharsisrumbo al 2 de junio 2024 ver mas,positivo
vamos con claudia,negativo
viva morena con todo lider mi primera gobernadora,negativo
sin duda es el tiempo de la 4t el cambio es inevitable,positivo
de donde saca tantas energias mi proxima gobernadora,negativo
vamos directo al triunfo claudia delgadillo te dije que ibas a ser la candidata y ahora te digo que vas a ser gobernadora,negativo
 muchas gracias por tus palabras ,positivo
 no le crean nada a esos prianistassontraidoresalpueblo oligarquiacorrupta por eso el 2 de junio no te quedes en casa  ver mas,negativo
ale ale en jalisco van las claudias juntas,negativo
 asi es vamos,negativo
hay que invitar a,negativo
por eso el 2 de junio no te quedes en casa sal tempranito a votar plancconvotomasivopormorena  ver mas,negativo
vamos bien con  claudia delgadillo,negativo
vamos por la transformacion de jalisco,negativo
la apoyo,positivo
la 4t llegara a jalisco y por fin la situacion sera mejor,negativo
que bonito lugar  estoy enferma si estuviera bien de salud te andaria acompanado en la campana,negativo
animo saludos y bendiciones,positivo
recibes con mayor bendicion la prenda del simbolo de quienes tienen el don de la felicidad y proteccion de la maldad  quienes te critican o envidian se sumaran ante ti y los acogeras con mayor alegria,positivo
saludos mi futura gobernadora licclaudia delgadilloun abrazo,positivo
claudiadelgadillo teuchitlan poblacion con gran historiariqueza arqueologica vamos mi proxima gobernadora 4tla apoyo ver mas,positivo
un orgullo estar con claudia delgadillo,positivo
mi voto sera para claudia delgadillo,positivo
hasta ahora la paciencia pasion y congruencia politica es lo que definen a una  buena lider y proxima gobernadora de jaliscola apoyo,positivo
mo existe persona que no te escuche claudia delgadillo que no este segura de votar por ti claudiadelgadillogobernadora la apoyo,positivo
vamos interior del estado necesitamos un cambio urgente vamos con todoapoyar a morena,positivo
arriba claudia delgadillo proxima gobernadoravoto masivo para morenapara alcanzar la mayoria en la camara de diputados y senadoresarriba la 4t,negativo
vamos claudia,negativo
la apoyo,positivo
la apoyo,positivo
la apoyo,positivo
la apoyo con claudia delgadillo y daniel gsrcia llegara la 4t a jalisco,positivo
todos unidos mexicanos con morena y la 4 t plan c todos unidos,positivo
claudia  estamos con  tigo,positivo
vamos claudia delgadillo mi comunidad te respalda no te olvides,negativo
ojala sea un cambio para jalisco en todo en salud salario seguridad servicios como aguacallesluzecepteraen fin para una mejor calidad de vida ,negativo
apoyo total a la 4t transformacion con claudia shenbaum y claudia delgadillo y en el municipio de mascota con tono rubio,positivo
viva la 4t viva morena viva claudia,negativo
que gran labor estas haciendo mi clau,negativo
todos con claudia sheinbaum y la 4ta transformacion,negativo
bienvenida a autlan jalisco,negativo
y con muchos lujos de donde creen,negativo
le reconozco su labor,positivo
asi sera vamos a ganar primero dios mi claudia delgadillo arriva morena,positivo
viva claudia delgadillo,negativo
que viva jalisco sin morena  ver mas,negativo
que gusto me da vamos con todo clauda gobernadora,negativo
apoyo total de mi familia con la mujer mas preparada para jalisco,positivo
vamosvamosvamos morena,negativo
lo que se deberia hacer es una renovacion pero en todas las depencias de gobierno que todas las dependencias se pongas a trabajar que haya un buen servicio y que se terminen las filas para hacer un tramite que dejen de buscar pretextos para no trabajar,negativo
vamos a apoyar la 4t transformacion vamos a apoyarte claudia con todo,positivo
si se puede  todos con morena,negativo
vamos a arrasar senores viva la 4t,positivo
muy bien saludos estamos con morena  esclaudia,positivo
luchamos con ustedes tenemos nuestra confianza puesta en morena por su gran trabajo,positivo
que viva la 4ta transformacion,negativo
la cuenta desgracia,negativo
pero de verdad cumplas claudia delgadillo por que no se si verdaderamente trabajaste con pena nieto,negativo
arriva la 4t,negativo
nuestra proxima gobernadora nos da esperanza y garantia para que porfin llegue la 4t,positivo
si ya queremos un cambio en jalisco vamos con claudia delgadillo viva morena y la 4t,positivo
lo mejor esta por venir pura 4t vamos arriba en las encuestas,negativo
es k en realidad aqi degollado nunca viene nadie mucho menos sus comunidades estamos olvidados y si bamos con morena d todos modos,negativo
la mayoria de habitantes del distrito 11en guadalajara estamos con nuestra diputada claudia para gobernadora ,negativo
por un gran cambio,positivo
claro que si la cuarta transformacion llegara a jalisco con claudia delgadillo como gobernadora,negativo
que viva nuestra proxima  gobernadora   claudia delgadillo  y que viva la 4t,positivo
ya llego la 4t venga todos con morena ,negativo
es claudia delgadillo gobernadora,negativo
animo saludos y bendiciones,positivo
vamos con todo arriba claudia sheinbaum,negativo
aique visitar los municipios mas marginados de jalisco  no nomas los mas grandes  eso no es bueno  aique bisitar ala jente umilde,negativo
la apoyo con claudia delgadillo gobernadora de jalisco y danielgarcia,positivo
lo compartimos con todo gusto mi gobernadora,negativo
viva nuestra gobernadora,negativo
claudia delgadillo es la mejor,negativo
orgullomexicano                                                                es un placer estar con la 4t   la gran mayoria de mexicanos ya sabemos por quien iremos este 2024 seis de seis con morenacopia y pega ver mas,positivo
ramon lopez  y mueran los ninos con cancer y todo tipo de enfermos por faltan de medicamentos gracias al cu4trote que les pusieron a los chairos y los traen todos apejendadosque pensaria descartes de toda la bola de chairos que ver mas,positivo
gerardo vivas entonces con esos argumentos defiendes a movimiento ciudadano,negativo
ramon lopez con el debido respeto van varias preguntas en diciembre de que ano quedo el presimiente como respira que tendriamos el sistema de salud como dinamarca ya lo tenemosde cuantos miles de millones de pesos fue el recorte al sector salud ant ver mas,negativo
arriba nuestra futura presidenta vamos x la 4 t,positivo
tuvimos la dicha de estar en autlan jalisco arriba la 4 t claudia x 2 votemos asi x morena,negativo
siempre juntos siempre morena ciudad guzman la respalda,negativo
va llegando el tren de la transformacion  a jalisco,negativo
con claudiadelgadillogobernadora y la apoyo el tren de la transformacion cada vez esta mas cerca voto y total apoyo a la 4t que transformara a jalisco,positivo
muchas felicidades,positivo
hay le encargo la carretera de cocula a san patricio melaque,negativo
gobernadora,negativo
al 100 con morena,positivo
viva morena claudia delgadillo,negativo
lo compartimos con mucho gusto lider,negativo
lo bueno esta por venir  esclaudia,negativo
vamos claudia gobernadora viva la 4t,negativo
excelente le mando un fuerte abrazo mi gober ya casi casi que nervios,positivo
enhorabuena,negativo
es una lastima que ningun candidato de oposicion de una posicion firme sobre la  verificacion vehicular lo mas sano seria darla de baja por las condiciones en las que fue creada y la corrupcion que hay dentro de la licitacion ya lo a comentado varias v ver mas,negativo
ya se van los naranjitas que tanto dano le han hecho a los jaliscienses,negativo
viva nuestra gobernadora para jalisco mexico claudia delgadillo,positivo
josafath jhoseph sanches jimenes y mueran los ninos con cancer y todo tipo de enfermos por faltan de medicamentos gracias al cu4trote que les pusieron a los chairos y los traen todos apejendadosque pensaria descartes de toda la bola de chairos que ver mas,positivo
gerardo vivas morian por vacunas de agua  mi estimado,negativo
josafath jhoseph sanches jimenes no proyectes tu ignorancia chairadocumentate primero ver mas,positivo
gerardo vivas fuera mc de jalisco mexico,positivo
seguimos con morena y la 4t ameca presenta,negativo
les encargo mas escuelas en valle de los molinos y del sol los ninos pobres son los q sufren en transportes sin asientos voto masivo para morena,negativo
saludos desde udt,positivo
con morena si claudia,negativo
todo mi apoyo a la candidata claudia delgadillo creo yo es la mejor opcion que viva morena,positivo
saludos claudia muchas exitos tienes mi respaldo guapisima,positivo
vamos morena t4,negativo
sonrie tendremos gobernadora senoras y senores,negativo
no sufran el dia 2 ya veremos,negativo
saludos futura gobernadora,positivo
claudia es mi galla senores,negativo
a que la marioneta tan optimista todo eso lo quito su papi el kkk,negativo
con todo claudia delgadillo,negativo
siempre trabajando mi clau ay asi sera desde el primer dia de su manddo,negativo
fuera morena,negativo
voy con mi claudia querida,positivo
vamos mi lider ,negativo
apoyamos la 4 transformacion,positivo
esclaudia sin duda alguna jalisco ya decidio,positivo
calmate priista de toda la vida,negativo
lastima que no la saludenomas le toque la mano con un dedo,negativo
proxima presidente,negativo
puros cuentos,negativo
vamos todos con morena,negativo
lla muero de viejo y son las mismas propuestas de todos los malos partidos lo unico que tienen en los orbitales counitaruos es parsetamol  y agua aucijenada,negativo
respaldo total a tu proyecto,negativo
voto masivo para morena y continuamos con la cuarta transformacion pacifica de la vida publica,negativo
pues cambien de partido por el morenistas baser que sea peor,negativo
todo con morena,negativo
usted si me representa,negativo
mentira,negativo
viva la 4 t,negativo
bendiciones clarooo,positivo
vamos con claudia gobernadora morena,negativo
jalisco merece un cambio ya vasta de naranja es hora de morena,positivo
enhorabuena,negativo
adelante claudia delgadillo,negativo
confianza a morena,positivo
morena,negativo
pues cual cambio tu fuistes la que cambiasteis y ganas vuelvas a cambiar,positivo
con la 4t ya vamos cerca delpais de quinta,positivo
ya ya tenemos presidentaya no gasten los demas partidos en publicidades regalen el dinero a los pobres mejor  medicinas comida ropa,negativo
arriba la 4t,negativo
lagos de moreno en unidad,negativo
ya ganamos,negativo
viva la cuarta transformacion lo mejor esta por venir,negativo
los de mugrena,negativo
